	rmspe_pre	rmspe_post	ratio	
1	         .	         .	         .	
1	 364.07132	         .	         1	
1	 364.07132	         .	         1	
1	 364.07132	         .	         1	
1	 364.07132	         .	         1	
1	 364.07132	         .	         1	
1	 364.07132	         .	         1	
1	 364.07132	         .	         1	
1	 364.07132	         .	         1	
1	 364.07132	 609.43701	 1.6739495	
1	 609.43701	 609.43701	         1	
1	 609.43701	 609.43701	         1	
1	 609.43701	 609.43701	         1	
1	 609.43701	 609.43701	         1	
1	 609.43701	 609.43701	         1	
1	 609.43701	 609.43701	         1	
2	         .	         .	         .	
2	 226.27127	         .	         1	
2	 226.27127	         .	         1	
2	 226.27127	         .	         1	
2	 226.27127	         .	         1	
2	 226.27127	         .	         1	
2	 226.27127	         .	         1	
2	 226.27127	         .	         1	
2	 226.27127	         .	         1	
2	 226.27127	 509.79871	 2.2530422	
2	 509.79871	 509.79871	         1	
2	 509.79871	 509.79871	         1	
2	 509.79871	 509.79871	         1	
2	 509.79871	 509.79871	         1	
2	 509.79871	 509.79871	         1	
2	 509.79871	 509.79871	         1	
4	         .	         .	         .	
4	 62.520962	         .	         1	
4	 62.520962	         .	         1	
4	 62.520962	         .	         1	
4	 62.520962	         .	         1	
4	 62.520962	         .	         1	
4	 62.520962	         .	         1	
4	 62.520962	         .	         1	
4	 62.520962	         .	         1	
4	 62.520962	 780.58636	 12.485194	
4	 780.58636	 780.58636	         1	
4	 780.58636	 780.58636	         1	
4	 780.58636	 780.58636	         1	
4	 780.58636	 780.58636	         1	
4	 780.58636	 780.58636	         1	
4	 780.58636	 780.58636	         1	
5	         .	         .	         .	
5	 241.24986	         .	         1	
5	 241.24986	         .	         1	
5	 241.24986	         .	         1	
5	 241.24986	         .	         1	
5	 241.24986	         .	         1	
5	 241.24986	         .	         1	
5	 241.24986	         .	         1	
5	 241.24986	         .	         1	
5	 241.24986	 2185.0327	 9.0571356	
5	 2185.0327	 2185.0327	         1	
5	 2185.0327	 2185.0327	         1	
5	 2185.0327	 2185.0327	         1	
5	 2185.0327	 2185.0327	         1	
5	 2185.0327	 2185.0327	         1	
5	 2185.0327	 2185.0327	         1	
6	         .	         .	         .	
6	 5415.6606	         .	         1	
6	 5415.6606	         .	         1	
6	 5415.6606	         .	         1	
6	 5415.6606	         .	         1	
6	 5415.6606	         .	         1	
6	 5415.6606	         .	         1	
6	 5415.6606	         .	         1	
6	 5415.6606	         .	         1	
6	 5415.6606	 8747.8877	 1.6152947	
6	 8747.8877	 8747.8877	         1	
6	 8747.8877	 8747.8877	         1	
6	 8747.8877	 8747.8877	         1	
6	 8747.8877	 8747.8877	         1	
6	 8747.8877	 8747.8877	         1	
6	 8747.8877	 8747.8877	         1	
8	         .	         .	         .	
8	 223.93159	         .	         1	
8	 223.93159	         .	         1	
8	 223.93159	         .	         1	
8	 223.93159	         .	         1	
8	 223.93159	         .	         1	
8	 223.93159	         .	         1	
8	 223.93159	         .	         1	
8	 223.93159	         .	         1	
8	 223.93159	  798.1048	 3.5640562	
8	  798.1048	  798.1048	         1	
8	  798.1048	  798.1048	         1	
8	  798.1048	  798.1048	         1	
8	  798.1048	  798.1048	         1	
8	  798.1048	  798.1048	         1	
8	  798.1048	  798.1048	         1	
9	         .	         .	         .	
9	   309.858	         .	         1	
9	   309.858	         .	         1	
9	   309.858	         .	         1	
9	   309.858	         .	         1	
9	   309.858	         .	         1	
9	   309.858	         .	         1	
9	   309.858	         .	         1	
9	   309.858	         .	         1	
9	   309.858	  1593.791	 5.1436176	
9	  1593.791	  1593.791	         1	
9	  1593.791	  1593.791	         1	
9	  1593.791	  1593.791	         1	
9	  1593.791	  1593.791	         1	
9	  1593.791	  1593.791	         1	
9	  1593.791	  1593.791	         1	
10	         .	         .	         .	
10	    146.97	         .	         1	
10	    146.97	         .	         1	
10	    146.97	         .	         1	
10	    146.97	         .	         1	
10	    146.97	         .	         1	
10	    146.97	         .	         1	
10	    146.97	         .	         1	
10	    146.97	         .	         1	
10	    146.97	 580.58185	 3.9503427	
10	 580.58185	 580.58185	         1	
10	 580.58185	 580.58185	         1	
10	 580.58185	 580.58185	         1	
10	 580.58185	 580.58185	         1	
10	 580.58185	 580.58185	         1	
10	 580.58185	 580.58185	         1	
11	         .	         .	         .	
11	 3174.2974	         .	         1	
11	 3174.2974	         .	         1	
11	 3174.2974	         .	         1	
11	 3174.2974	         .	         1	
11	 3174.2974	         .	         1	
11	 3174.2974	         .	         1	
11	 3174.2974	         .	         1	
11	 3174.2974	         .	         1	
