	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	tot_expenditures_cand3_reg	tot_contributions_cand3_reg	personal_contributions_cand3_reg	party_contributions_cand3_reg	natural_advantages_cand3_reg	donations_cand3_reg	other_contributions_cand3_reg	acccount_balance_cand3_reg
								
RD_Estimate	0.035	0.038	0.054	-0.031	-0.000	-0.004	0.000	-0.000
	(0.037)	(0.040)	(0.035)	(0.018)	(0.007)	(0.024)	(0.005)	(0.011)
								
Observations	929	842	831	679	1034	679	901	701
Robust p-value	0.441	0.429	0.090	0.074	0.939	0.679	0.961	0.958
Polyn. order	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
Bandwidth	0.014	0.013	0.012	0.010	0.017	0.010	0.013	0.010
Outcome mean	0.382	0.397	0.307	0.023	0.015	0.043	0.005	0.010
